1,"Ben Nevis",1344,350377,"Ben Nevis",56.7965,-5.0013,1344.0,140.9
2,"Ben Macdui",1309,350373,"Ben Macdui",57.0724,-3.668,1309.0,235.5
3,"Braeriach",1296,350560,"Braeriach",57.0749,-3.7288,1296.0,378.7
4,"Cairn Toul",1291,350716,"Cairn Toul",57.0516,-3.711,1291.0,311.3
5,"Sgor an Lochan Uaine (The Angel's Peak)",1258,353406,"Sgor An Lochain Uaine",57.0565,-3.7203,1258.0,392
6,"Cairn Gorm",1244,3065,"Cairn Gorm Summit",57.116,-3.642,1245.0,169.3
7,"Aonach Beag",1234,350117,"Aonach Beag (1238m)",56.7981,-4.9508,1238.0,292.3
8,"Aonach Mor",1221,350119,"Aonach Mor",56.8122,-4.9575,1219.0,270.8
9,"Carn Mor Dearg",1220,350793,"Carn Mor Dearg",56.8056,-4.9838,1223.0,175.9
10,"Ben Lawers",1214,350370,"Ben Lawers",56.5467,-4.2186,1214.0,241.4
11,"Beinn a' Bhuird",1197,352853,"North Top",57.0868,-3.5016,1197.0,161
12,"Carn Eighe",1183,350788,"Carn Eige",57.2881,-5.1143,1183.0,65.9
13,"Beinn Mheadhoin",1182,350334,"Beinn Mheadhoin",57.0981,-3.6093,1182.0,282.4
14,"Mam Sodhail",1181,352507,"Mam Sodhail",57.2814,-5.1188,1180.0,198.5
15,"Stob Choire Claurigh",1177,353683,"Stob Choire Claurigh",56.8225,-4.8423,1177.0,468
16,"Ben More (Glen Dochart)",1174,350375,"Ben More (Stirling)",56.3877,-4.5399,1174.0,194.8
17,"Ben Avon* Leabaoidh an Daimh Bhuide",1171,352235,"Leabaidh An Daimh Bhuidhe",57.1,-3.4319,1171.0,168.7
18,"Stob Binnein",1165,353682,"Stob Binnein",56.371,-4.5376,1165.0,117.8
19,"Beinn Bhrotain",1157,350315,"Beinn Bhrotain",57.0071,-3.7187,1157.0,436.5
20,"Derry Cairngorm",1155,351197,"Derry Cairngorm",57.0652,-3.6221,1155.0,266.8
